"BLCA.CN"	"BRCA.US"	"CLLE.ES"	"CMDI.UK"	"COAD.US"	"EOPC.DE"	"ESAD.UK"	"ESCA.CN"	"GACA.CN"	"GBM.US"	"KIRC.US"	"LAML.KR"	"LGG.US"	"LICA.FR"	"LINC.JP"	"LIRI.JP"	"LUSC.KR"	"LUSC.US"	"MALY.DE"	"NBL.US"	"ORCA.IN"	"OV.AU"	"OV.US"	"PACA.AU"	"PACA.CA"	"PAEN.AU"	"PBCA.DE"	"PRAD.CA"	"PRAD.UK"	"PRAD.US"	"READ.US"	"RECA.CN"	"RECA.EU"	"SKCM.US"	"STAD.US"	"THCA.SA"	"THCA.US"	"UCEC.US"
"ARID3A"	5.68888575504592e-14	1.76824484720121e-09	0.975829376927476	-1	-0.831128940753	-0.817977621756983	-1.93627008117096e-32	0.322703566921776	-1	-0.334294818640942	1.24375917222424e-06	0.0192542780811823	0.494564601511287	0.394596790143199	1.58170415695399e-16	7.54679955907129e-07	2.58339261378353e-16	0.0369858628690833	-0.00524671640861308	1	-1	-0.748721404065143	0.11092785374324	-1.36342267649026e-16	-3.75264794786506e-08	0.529238349107569	-0.009157148623686	0.191767073849836	0.379286366579132	0.909035032231954	-0.989917822208919	-1	0.000253784515821405	-2.445258110862e-05	-0.0310574169963	3.17324525782362e-05	0.00686900667601803	-0.383763477735041
"ATF1"	1.16274582148194e-13	6.37737160980092e-18	0.952573467068315	-1	4.35127636169275e-06	0.817977621756983	-3.8704503038275e-20	0.037369775734	-1	0.389520017887168	9.59146711434145e-07	-0.000831149112987469	0.1663096456915	0.000563429539261375	8.5208997728412e-09	-1.725860425142e-19	5.32409564402958e-80	1.17869476846159e-05	-0.000390527396828	-1	0.213040238440914	6.049410785957e-06	-0.791923154904863	-7.69488584275212e-05	-0.0482474663570667	0.869444575469254	-0.710022341590032	-1	0.297205413254376	0.000153850971609333	0.813650870622689	0.700481035337644	-0.633373661214381	0.0724940005081312	0.0706093365137429	2.62693634262984e-23	1.71370875377706e-05	0.669431135368614
"ATF2"	3.29776886599109e-113	1.76694501204189e-125	0.000553959196167816	-1	9.33013564693187e-59	-0.177832684753707	-2.43532147745944e-56	1.60805779813278e-11	-1	1.56786981198155e-08	1.73424297497967e-36	-4.01578049740875e-08	8.28095881512562e-05	5.20498742875868e-05	1.25299473923907e-25	-4.56448956130192e-79	2.36541097451256e-66	2.39504281206612e-36	0.00131375002285214	1	6.47213401402925e-06	0.6516498552805	1.01420155779529e-06	-7.54839123129549e-45	-7.73531916794431e-13	0.869444575469254	-6.27435709009025e-07	0.785204412119211	-0.99413263862114	1.29317409593446e-08	2.90979495060083e-07	0.700481035337644	-0.11019719688488	3.44725896635155e-08	9.7338028286625e-66	4.76647112048625e-113	7.28184187655207e-16	6.09627685585423e-38
"ATF3"	1.4437092488097e-48	1.05972251386264e-53	0.528125311491629	-1	3.350540533326e-31	-1	-1.81511038285793e-36	0.00367656319251359	0.999525740000417	0.000247047847090307	3.01345136303207e-28	-6.73688576490014e-31	5.9518457454848e-07	1.91436103620533e-14	7.124836534569e-29	-5.055132440645e-56	4.68545279161987e-74	1.03649337164303e-18	-8.68392169957709e-06	1	0.00260169692089	2.70861491405167e-07	0.304856732452384	-1.36312953281945e-17	-3.34508080461183e-07	-0.878444181683833	-0.0107494408530572	0.014145140008314	0.8664284662628	7.37687772311819e-06	1.56723175353248e-06	-1	-0.219735363769236	1.4955945024949e-07	2.03258813874333e-16	1.39496793586746e-174	2.49681116613369e-10	2.97605907123064e-05
"BACH1"	2.55359559958117e-25	8.28120536231867e-37	0.450404408762785	-1	2.30322510546333e-56	-0.372685473525213	-1.41869316508858e-14	0.00031294177908791	0.808506530255351	0.00267571649515532	6.74854894321673e-12	-1.13443516896665e-31	0.00276375561541333	1.05480079050947e-21	5.06776486554198e-20	-2.06102173141545e-86	9.27855489456204e-33	1.37854465921371e-22	0.0558027416475099	1	0.00146562187429042	0.0281530709025548	0.025234780874849	-3.26419102126508e-10	-0.000869964436843991	0.99508206101302	-0.0287554439271167	-0.575913350591133	0.835332052726067	0.00159591982102127	3.32896813283644e-17	-1	-0.00309164984048929	0.00214626847992536	1.80521916031367e-45	1.57336874256697e-159	7.06649938206528e-09	8.64469148954575e-05
"BATF"	0.0390669080365747	0.000172662943851708	0.572227271500025	-1	-0.00218605418073588	0.855977338180077	-1.30540745944389e-14	0.907159515360136	0.986536855609636	-0.609836633385721	0.0374774547726238	3.8937489296405e-09	0.687733892768355	0.603779850213364	0.254346770159424	-0.751101976961132	0.124853389458615	0.143373584019847	0.0655421039469063	1	0.623609656689127	0.000720913858456016	0.00115869594429455	-1.02237525276024e-13	-0.00512774590682469	-0.869444575469254	-0.470654383250349	0.8694134624595	-0.31709350627409	0.661972459299867	-0.66229163570481	0.795672207990333	0.00220168625846167	-0.0710555559816	0.517658568100603	-0.496970699823455	0.618378179524139	0.575280931105909
"BCL11A"	0.00118836786264734	0.0602357572787987	3.7027970270424e-05	-1	0.233338094618678	0.964935801086672	-1.18870050784051e-13	0.228292909828992	-1	-0.993679995798981	0.206016171725238	0.0592370254080571	-1	0.851077286298838	0.00218059084856762	-0.000288135204058333	0.0328424377924028	0.0457017244176078	9.83988034807514e-09	-1	-1	0.00213047760244529	0.000348200763877167	-2.85405051350556e-09	-0.05637132473359	0.515798807735203	-0.120191219345102	-0.427828514896456	-0.835332052726067	-0.661972459299867	-0.536754179780993	0.74289143519797	0.694661017659645	0.35656227828621	0.0100152773546191	0.00465487545840576	0.100734114376036	0.0628486881166993
"BCL3"	8.96128469420403e-82	5.86702359623074e-79	0.0170303745208227	-1	1.23879114611573e-56	0.0332720739294664	-2.81201207861412e-48	2.11695873530152e-07	1	0.171351995258345	8.58860040450631e-32	-2.0814830022525e-07	7.91436342677045e-09	5.59600058707421e-13	5.08553207128417e-21	-7.60709488611121e-99	2.7417432732661e-62	3.96990476816128e-18	0.879727561226019	-1	0.000285210506833	0.648817652855167	0.000445087517931767	-8.46065175703337e-22	-0.000190804071591123	-0.5641045655961	0.120258620597859	0.196107762506662	-0.835332052726067	8.2650205879046e-09	8.09726348148951e-08	0.927623371576115	-0.539417418725403	7.637594882905e-06	1.403634866424e-43	1.54908654776962e-106	3.14482133164938e-18	2.15505461078417e-13
"BCLAF1"	4.19665984749e-142	6.47968105483364e-156	9.239231428003e-06	-1	1.71547038510542e-105	0.774708364463574	-8.6874265331304e-31	2.09239359327295e-07	-0.982745842292541	5.09003526307986e-06	5.913235762495e-56	-3.08216282070156e-36	2.83734835592617e-06	2.87825962010077e-07	3.08932515865085e-28	-4.41252807015034e-117	2.74005188683217e-94	3.11690002042155e-46	1.93553669985853e-05	-1	1.38516632175392e-08	-0.0741689175253315	9.72477043787454e-11	-1.89534777773909e-26	-1.06230853081264e-09	-0.163918624005916	-0.000755335760215721	0.0877001515060638	-0.959655242466022	1.19433002301381e-16	3.50440461449569e-18	-1	-7.96480872924734e-08	3.09638703908167e-15	3.63987151508849e-92	2.62997873108833e-231	8.20557028501219e-24	1.06410519842181e-17
"BDP1"	0.692512823146696	-0.503496295576828	0.576709825591706	-1	-0.184442091360034	-0.785041632151315	-0.000929015759861961	-1	-1	-0.815568568009562	0.783123473947994	-0.000103370837657053	-1	-0.801624060354547	0.0283733490921493	0.736261617742044	-0.850599911553616	-0.192967993802	-0.0985434054168224	-1	-1	0.000143873050487302	-1	0.00646843968251967	-0.720696598179627	-1	-0.103886571855802	0.028309329543053	0.835332052726067	-1	-0.23167237932113	-1	0.00707436382363893	-0.389774395534718	-0.00188683490457579	8.06792503330471e-07	-1	-0.0121439110620932
"BHLHE40"	3.78495627824509e-108	1.26300576841232e-142	0.457329107693755	-1	2.06046033642274e-138	0.320240827300333	-6.59235153488116e-66	3.30314542841862e-12	-1	6.55900836200195e-18	1.19297265731682e-87	-1.22197199229522e-52	8.19300812212426e-14	3.59544916795633e-34	8.30751227623377e-43	-2.73201097359167e-181	1.03939419481838e-103	1.8140389979053e-43	-0.00880779325983591	1	8.40860405346938e-14	0.262783361576127	0.00136877825285661	-4.08229757443828e-40	-4.67772048340111e-13	-0.163918624005916	-0.000386895438594648	0.303359721565385	-0.849932346907594	2.92215238635078e-17	5.9045543518325e-21	0.700481035337644	-9.61060761371932e-05	9.24369965381085e-43	6.75569051635857e-103	2.77586206896552e-306	5.40328764102207e-31	1.07285285519038e-32
"BRCA1"	4.34184132364036e-62	4.11750146583486e-33	0.356861409149389	-1	1.02327398879986e-24	-0.0651897166664625	-1.30640876728331e-13	9.80414555575805e-06	-1	0.718112946547818	1.46754137854017e-07	-7.20134113771154e-36	0.000723623860280429	1.63434080314726e-07	9.73080774013727e-40	-8.75283928162208e-43	2.13526008642059e-88	4.1282645905725e-05	-0.00482419821711256	-1	7.44221364963417e-10	9.19768172001535e-13	0.309365435773039	-1.35655094665421e-10	-0.000622401842834812	-0.678433927845636	-0.0210537954000459	-0.785204412119211	-0.824315583087077	2.14381621241763e-05	0.000204350305455625	0.700481035337644	-0.0167099352618133	0.000228529553851588	3.25909832538769e-07	2.56655268772412e-120	1.30771317974437e-15	-0.42249042949274
"BRF1"	0.616657790711577	-0.649575545483579	-1	-1	-0.55811681731759	-1	-0.0554910971021694	-1	-1	-0.718112946547818	0.219231820167242	-0.00325127724841934	-1	-0.329773238819381	7.26953371368562e-05	-0.11890436721602	0.799546672066791	-0.619653066425481	-0.299332689460358	-1	-1	0.0045231909938477	-1	0.00267511051000795	-0.776218589325138	0.867381932420413	-0.1291924177292	0.0133936383511314	-1	0.512380439773291	-0.709818338409392	-1	0.297213771558047	-0.418248969468391	-0.00515420420961353	3.03523531672809e-15	-1	-0.0490875804144433
"BRF2"	0.311737224835136	0.000100047022541112	-1	-1	0.630443930694057	0.3164940498881	-0.117788927280943	0.00699687324968927	-1	0.843313248297476	0.000924458925257915	-0.712332470117703	-1	-5.47617634501786e-06	1.37996785086833e-06	-0.302798398102591	-1	-0.75499422197183	-0.118245161545373	-1	-1	-0.174036037018237	0.308227262965667	-0.0018160588594165	-0.8067228027	-0.236224176212769	-0.959410038707805	0.00552625679179321	-1	0.0963201669323815	0.473987459913333	-1	0.197047547135508	-0.945726403947456	0.00149363416460092	4.20253796448602e-71	0.657071520799658	0.00663695690044889
"CBX3"	8.07701744154136e-82	7.24799415911875e-150	0.500596292624412	-1	5.56772659382333e-136	-0.320240827300333	-1.86582024073239e-46	4.47996072777542e-12	1	5.464060824551e-12	3.6469117292475e-44	-2.74949887191364e-24	1.25437157776751e-08	3.24530805742088e-11	2.126617434938e-13	-8.25516881518396e-143	1.43303013842645e-68	1.57226236047754e-52	-2.76311707206205e-15	1	8.08522398277907e-07	-0.954985003466386	0.0141909336455145	-3.51784161240148e-36	-1.86142680316386e-14	1	-0.00226795777316325	0.575913350591133	-0.623552701925208	1.376611468213e-10	5.01499280164909e-29	0.929798594378023	-5.46191207106823e-06	2.76771858446451e-67	3.30155675984472e-144	8.27273904082828e-239	8.46564887384611e-35	6.75720528431586e-104
"CCNT2"	6.374476244334e-218	5.03125e-306	0.36492194724125	-1	4.6e-306	-0.3164940498881	-7.91558037969447e-73	6.10610572623935e-26	0.8736559915685	4.33139524911647e-29	3.69190716337267e-187	-6.53932410442325e-170	2.52488400991352e-39	1.98028224704367e-42	4.24651585130373e-140	-4.47222222222222e-306	3.46596147228426e-154	4.65754054336572e-120	-0.000317188747704191	-1	1.361485861902e-35	0.003799743959024	0.0359343347533311	-1.75499762344662e-44	-4.411555655444e-37	-0.7130570246751	-0.000436147426093273	0.196713327469146	-0.824315583087077	1.51630672695503e-56	3.17623533797564e-88	0.65064277152018	-1.10421180245501e-45	4.1502548653668e-68	2.16055318877876e-220	2.77586206896552e-306	2.81375716209808e-138	1.38251915757e-65
"CEBPB"	1.807261092336e-15	5.1654023132965e-19	0.1506578036033	-1	0.100715750484613	0.372685473525213	-7.37501300032823e-77	0.000296589153529808	0.8736559915685	0.684701380349	5.12227457803406e-18	6.29131521100333e-08	0.788097512326166	-0.329773238819381	1.90040345947885e-15	4.47015957385545e-05	1.35462374697674e-08	0.0142331099472453	-0.57929374726277	1	0.000897135170496396	0.0170545014809807	0.312895005706147	-2.43937386787316e-41	-0.00142312048423656	-0.867381932420413	-7.86813056981e-05	0.778980766077366	0.873049235271379	0.00537472218636198	0.603644580248796	-1	3.75204731478213e-08	-5.26406465056286e-10	0.173612566930296	0.000181254968458063	1.18410663793996e-05	0.383763477735041
"CEBPD"	5.48280681122233e-75	1.52500641704992e-110	0.0125241964297308	-1	8.46753467268368e-75	-0.320240827300333	-2.20990387567906e-32	6.71474611866852e-14	-1	6.82099360093667e-07	6.64434146049068e-69	-9.08402504421106e-56	2.01629910442145e-15	6.70872579942693e-10	5.46179498008742e-79	-1.78171998796778e-81	1.81112634671491e-73	1.28177179779744e-39	-6.26287033698266e-05	-1	8.369297239157e-08	0.0604902815549557	3.80698602095382e-06	-1.45472014896556e-21	-1.1379154203574e-11	-0.967190616787216	-0.0781331287866917	0.303359721565385	-1	4.86137626749216e-19	3.426306260039e-10	-1	-2.45150496912643e-13	2.73192213388111e-20	1.44864055732184e-30	7.62751668634092e-238	1.31027931045217e-44	5.52539830444212e-07
"CHD1"	6.44e-306	5.03125e-306	1.42836011080245e-11	1	4.6e-306	-0.001378511984157	-6.6306445599415e-127	6.16314338540277e-33	-1	8.815653601345e-64	1.46363636363636e-305	-3.27465964205231e-188	4.099882136702e-93	-0.0875268982766889	5.61631148689059e-74	-4.47222222222222e-306	7.48313349952583e-237	2.0125e-305	2.6663208201469e-98	-1	2.75726814447389e-43	-2.0305281554649e-69	2.1984654709731e-23	-3.7125614899121e-135	-2.27243762376493e-42	-0.00134163222865128	-4.9820946090125e-14	0.000258210250937427	-0.499578814660513	1.51080459964168e-167	6.161673899577e-163	0.342013245334756	-1.97425638274308e-43	2.04961243488727e-180	6.70833333333333e-306	2.77586206896552e-306	5.02293576844578e-151	1.61e-305
