"alzheimers_disease,correlates with,parkinsons_disease,at corr. coeff.,0.324,anticorrelates with,vitiligo,at corr. coeff.,-0.1709"
"blood_pressure,correlates with,celiac_disease,at corr. coeff.,0.2207,anticorrelates with,bmi,at corr. coeff.,-0.2002"
"bmi,correlates with,metabolic_traits,at corr. coeff.,0.3172,anticorrelates with,primary_biliary_cirrhosis,at corr. coeff.,-0.351"
"bone_mineral_density,correlates with,metabolic_traits,at corr. coeff.,0.2981,anticorrelates with,qt_interval,at corr. coeff.,-0.3903"
"breast_cancer,correlates with,fasting_plasma_glucose,at corr. coeff.,0.3043,anticorrelates with,menarche_age_at_onset,at corr. coeff.,-0.3625"
"celiac_disease,correlates with,rheumatoid_arthritis,at corr. coeff.,0.3485,anticorrelates with,bmi,at corr. coeff.,-0.305"
"cholesterol,correlates with,phospholipid_levels_plasma,at corr. coeff.,0.3487,anticorrelates with,psoriasis,at corr. coeff.,-0.3387"
"chronic_kidney_disease,correlates with,colorectal_cancer,at corr. coeff.,0.2291,anticorrelates with,vitiligo,at corr. coeff.,-0.2188"
"colorectal_cancer,correlates with,mean_corpuscular_volume,at corr. coeff.,0.3625,anticorrelates with,qt_interval,at corr. coeff.,-0.1316"
"c.reactive_protein,correlates with,hematological_parameters,at corr. coeff.,0.2776,anticorrelates with,metabolic_traits,at corr. coeff.,-0.1991"
"fasting_plasma_glucose,correlates with,parkinsons_disease,at corr. coeff.,0.4544,anticorrelates with,bone_mineral_density,at corr. coeff.,-0.3078"
"height,correlates with,menopause_age_at_onset,at corr. coeff.,0.1669,anticorrelates with,cholesterol,at corr. coeff.,-0.2924"
"hematological_parameters,correlates with,platelet_counts,at corr. coeff.,0.417,anticorrelates with,menarche_age_at_onset,at corr. coeff.,-0.2617"
"hypertension,correlates with,pulmonary_function,at corr. coeff.,0.3262,anticorrelates with,type_1_diabetes,at corr. coeff.,-0.3449"
"inflammatory_bowel_disease,correlates with,colorectal_cancer,at corr. coeff.,0.3524,anticorrelates with,bmi,at corr. coeff.,-0.3075"
