alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
wgEncodeUwHistoneHreH3k27me3StdHotspotsRep2	-1.0	-1.0	-1.0	0.562315826926	0.0145955857379	-1.0	-0.715142769741	-1.0	-1.0	-1.0	0.430592069239	0.598860673727	0.378679917011	-1.0	0.734227970459	-1.0	0.128185157798	-1.0	-1.0	-1.0	0.299785078355	-1.0	0.299785078355	-1.0	0.322186415573	-1.0	0.0913071267912	-1.0	-0.622981273185	-1.0	-1.0	-1.0	-1.0	0.616561106097	0.0111702189655	0.562315826926	-1.0	-1.0
wgEncodeBroadHistoneNhlfH3k4me3StdPk	-0.611549891196	0.486551194665	-0.565859493856	0.138362356472	-1.0	-0.241373681532	0.622058910161	-0.498720376401	0.184033729035	-1.0	-1.0	0.800644675809	-0.618754229054	0.0828041099461	-1.0	-0.608226545244	-1.0	-0.06300515721	-1.0	0.435104148938	0.75332811974	0.376647126998	0.75332811974	0.315451118175	-0.608226545244	-0.241373681532	0.0511883164202	-1.0	1.0	0.376647126998	0.270074814937	-0.628973546514	0.293645894107	-1.0	-1.0	0.447795304794	0.138362356472	-0.39131854675
wgEncodeUwDnaseWi38HotspotsRep1	-0.612096401911	0.112945642168	-1.0	-0.403995425726	-1.0	0.660711688525	-1.0	1.0	0.365608273974	1.0	-1.0	0.0961146048304	-0.61180474507	0.226318302989	0.813821570234	-1.0	-0.384971676596	-0.100150055403	0.637805506119	0.377923256779	-0.158517237324	0.29638620587	-1.0	0.263226978374	-1.0	-0.389281039345	0.723023088193	-1.0	0.0282380546333	-1.0	0.112945642168	-0.614771447714	-0.612096401911	0.440165942377	-0.712281068958	-1.0	-0.403995425726	-1.0
wgEncodeHaibTfbsHepg2Atf3V0416101PkRep1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0742574257426	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
wgEncodeHaibMethylRrbsNb4UwSitesRep1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0334158415842	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
wgEncodeHaibMethyl450Gm19239SitesRep1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
wgEncodeCshlLongRnaSeqImr90NucleusPapContigs	-0.50802754458	-1.0	-0.566734819306	-0.473570638913	-1.0	0.617914549508	0.973709908149	-0.260886589881	0.58200921413	-0.106468996423	-0.152428016369	0.191457770802	-0.344363470165	-0.50802754458	-0.0991456660247	0.728303930568	-1.0	-0.0104140311855	0.176070787896	1.0	0.0781118613117	0.763230029225	0.83571442392	9.91997512351e-05	-0.16937023349	-0.443114301404	0.352735508539	-0.591520204084	-0.315052848958	0.0324444169738	0.111475458569	0.763230029225	-1.0	-0.260886589881	-0.823400594224	0.333453057144	0.629367391071	-1.0
wgEncodeUwHistoneHek293H3k4me3StdHotspotsRep2	-1.0	0.54040823492	-1.0	0.504640962335	-1.0	-1.0	-1.0	-1.0	0.0866811538066	0.307606004442	-1.0	0.389924128897	-1.0	-1.0	-1.0	-1.0	-1.0	-0.619382213168	0.424872002174	0.0116386460644	-1.0	0.357046388518	0.23851272151	0.211435894185	-1.0	-1.0	1.0	-1.0	-0.618769476305	-1.0	0.54040823492	-1.0	0.307606004442	0.184764797902	-1.0	0.145977585524	-1.0	-1.0
wgEncodeGencodePseudoGeneV17	-1.0	-1.0	-1.0	0.153969148067	0.107712522635	0.13878427577	-1.0	-1.0	-1.0	-1.0	-1.0	0.604861082414	-1.0	-1.0	-1.0	0.0756847929308	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.205323437745	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.176315986257	-1.0	-1.0	-1.0	-1.0
wgEncodeUwRepliSeqMcf7ValleysRep1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
