alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
phastConsElements46wayPlacental	-1.0	0.472306807837	0.123495723535	-0.246745958177	0.037418896331	-0.242053749293	-0.0768611992245	0.273694965416	0.170695435518	-1.0	-1.0	0.277282259026	-1.0	-1.0	-0.825272634423	-0.608896389717	-1.0	-1.0	0.19816683393	-1.0	-1.0	-1.0	-1.0	-1.0	-0.608896389717	-0.242053749293	-0.507615275434	-0.38795804077	0.75410042171	0.359586934608	0.472306807837	-1.0	0.0759749549586	-1.0	-0.718836931957	0.436685500305	-0.710594270101	-0.38795804077
hiSeqDepthTop1Pct	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sibGene	-0.160821587836	1.0	-0.292729929369	-0.799244196126	-0.53631050401	0.789753164636	-0.921917962455	1.0	-0.242855896812	-0.484432912707	-1.0	-0.852552872804	-0.310876088988	-1.0	-0.00596078219659	-0.721271089204	0.573500013377	-0.009864835866	0.573500013377	1.0	0.378843184225	0.524814690541	0.18437575797	0.106277305434	0.458842114712	0.420779045545	0.378843184225	-0.773886294091	0.522919696744	0.195633950033	0.21940130965	-0.750837520635	0.732550481923	-0.81158101076	-0.81158101076	0.304873993076	-0.799244196126	0.573500013377
cgapSage	-1.0	-1.0	-1.0	-1.0	0.0780855607196	-1.0	-1.0	-1.0	-1.0	-1.0	0.0780855607196	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.151215230811	-1.0	0.151215230811	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0605145788418	-1.0	-1.0	-1.0	-1.0	-1.0
ntHumChimpCodingDiff	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0259900990099	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
phastBiasTracts3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.129227080741	-1.0	-1.0	0.0780855607196	-1.0	0.0664010789744	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.151215230811	-1.0	-1.0	-1.0	0.123659478955	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
snp138Flagged	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
agilentCghSnpCancer4x180k	0.242418382231	-1.0	0.204931728453	-1.0	0.303438394893	-1.0	-0.630438598352	0.45961034009	0.00525935900261	-1.0	-1.0	-1.0	-1.0	-1.0	0.675153909421	0.220968194855	-1.0	0.557343636683	-1.0	-1.0	0.517725246715	-1.0	0.15522700903	0.489456531935	0.220968194855	-1.0	0.517725246715	-1.0	-1.0	-1.0	-1.0	0.283639486221	0.242418382231	-1.0	-1.0	-1.0	-1.0	-1.0
lrgTranscriptAli	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.310447819851	-1.0	-1.0	-1.0	0.252861236611	-1.0	0.199817134503	-1.0	0.328685346026	-1.0	-1.0	-1.0	-1.0	-1.0	0.143874612538	-1.0	-1.0	-1.0	-1.0	0.328685346026	0.153014598256	-1.0	-1.0	0.0363128622788	0.23266829706	-1.0	0.44406972242	0.397144916956	0.397144916956	0.328685346026
affyU133Plus2	-1.0	-0.661909204084	-0.724822997866	-0.168553361683	-0.402192212796	-0.148896726237	-0.981375126453	0.388645637753	-0.279821660473	-1.0	0.587635371876	-0.32538992978	-0.763411943614	-0.528276692101	-0.0479371752851	-0.741253828596	0.311337647451	-0.00703307587589	0.311337647451	1.0	0.233999970379	0.777957507934	0.111150178763	0.0965301068243	-0.318429984881	0.806964716084	0.233999970379	0.614449140391	-0.948519817937	0.395270503782	0.0130115396852	0.777957507934	0.757121866642	-0.520118438998	-0.937614379184	0.24477071294	0.24477071294	0.311337647451
ccdsGene_exon	-1.0	-1.0	-0.249877725667	-1.0	0.551716621646	-1.0	-1.0	-1.0	0.578782787886	0.459889975717	-1.0	-0.257174807729	0.492377796727	-1.0	0.39219123961	-1.0	-1.0	-0.408588395013	0.0540604995529	-1.0	-1.0	0.15608604851	0.663405470806	0.165900021898	-1.0	-0.616934978867	-1.0	-1.0	-1.0	0.0296403511802	-1.0	0.522949773838	0.459889975717	-1.0	0.136973800588	0.0975087366754	-1.0	0.604246800709
HInvGeneMrna	-0.346173293258	-0.507651713339	-0.920825860441	-0.171042884101	-0.583550657492	0.807185682052	-0.666355728447	0.288814696869	-0.182566236648	-0.346173293258	-1.0	-0.500660798816	-0.22909511896	-0.755123689971	-0.056844674368	-1.0	0.435947869903	-0.0126923221658	0.0162860632165	0.673370804187	0.166107522159	-0.390561563951	0.399373327772	0.0641450297738	-1.0	0.463084581988	0.399373327772	0.435947869903	-0.169756146064	0.24662507342	0.119301738015	1.0	0.206519905377	-1.0	0.994016620555	0.101445810945	0.816995826715	0.795656256499
snpArrayIlluminaHumanOmni1_Quad	-0.360259986359	-0.0730622589271	0.852931811036	0.494693391405	0.159049066711	0.467905496473	-0.0403428072169	-0.0092960017922	0.0270035781469	-0.360259986359	0.000402072632926	-0.617457066293	-0.237713154233	-0.360259986359	0.0403513932857	-0.013337553727	-0.604597903557	-0.0350488888232	0.192487002301	1.0	-0.921805607814	-0.15234580895	0.0709338773866	-0.783961048259	-0.0868150892539	0.467905496473	-0.0044732506208	-0.604597903557	0.00511791216086	0.561886872706	1.0	1.0	-0.198852140962	-0.807186954993	0.277618997288	0.00180010529408	-1.0	0.437454389693
ntSssSnps	0.50973037386	-0.823037575951	-0.933164020725	0.633424160191	-0.778081775841	-1.0	-0.940223777117	-0.822973331106	0.400744324721	-0.754563964501	-0.39430195637	0.63880027172	-0.344366054594	-0.103272692624	0.306278223769	-1.0	-0.278556512999	0.709402329581	-0.278556512999	0.35996674317	0.837712766289	-0.0649947913584	0.837712766289	-0.286237272552	-0.499278937934	-0.317602516524	-0.408111064492	0.183147892461	0.0571170653607	-1.0	0.357872290733	-0.551310443855	-0.341927347625	0.658488621333	0.376604360677	1.0	0.633424160191	-1.0
allenBrainAli	-1.0	-0.153820208654	0.36481989309	-0.248924039568	-1.0	0.700465304681	-0.464613463421	0.721279191655	0.653385909788	-1.0	0.152236918229	0.766716538336	0.330215909824	-1.0	-0.386906986524	-0.608390525247	-0.390088916467	-0.759562960714	0.66838423449	-1.0	0.750712161323	0.37097289409	0.34728602061	-1.0	1.0	0.0968201816923	0.750712161323	0.0654104990218	-0.759000503786	0.0303977015816	0.481738861125	0.37097289409	-0.611167897409	-0.155687725519	-0.499254081167	0.444005782436	-1.0	-1.0
tRNAs	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
pubsBlatPsl	0.696976946712	-0.400000127296	-0.098137143447	-1.0	-1.0	-1.0	-0.238379618243	0.572090549229	-1.0	0.397192307735	-1.0	0.877328264422	0.117262978344	-1.0	0.925526762402	0.667322324245	-0.49273404933	-0.457063441287	-0.49273404933	1.0	0.294125010028	-1.0	0.113331489468	-1.0	-1.0	-0.33435578189	-1.0	-0.49273404933	0.608206654786	0.0470731838346	0.779581452431	-1.0	0.696976946712	1.0	0.258914857676	-0.22451478872	-0.551724231767	0.163517156641
agilentCgh2x105k	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0439496572643	-1.0	0.0439496572643	-1.0	-1.0	-1.0	-1.0	0.0689821325154	-1.0
lincRNAsCTTestes	-1.0	-0.618634113595	-0.395089804302	-0.618111757014	0.485789169872	0.203819546977	-1.0	-1.0	-1.0	0.399893101491	-1.0	-0.807674344354	-1.0	-1.0	1.0	0.368266914481	-1.0	0.0113567429277	0.536262853054	-1.0	-1.0	0.458582247643	0.372578531323	-0.62586539339	0.368266914481	0.203819546977	-0.634033467513	-1.0	0.00831108921741	0.458582247643	-0.618634113595	-1.0	0.399893101491	-1.0	0.297935562577	1.0	1.0	-1.0
affyU95	-0.731608086567	0.467046315349	-0.841091181799	-0.0761226860852	-0.364664102899	-0.789384038552	-0.249732327946	0.482669948581	-0.768217813398	0.492943125571	-0.764965767411	-0.800569640398	-1.0	-0.731608086567	-0.0117075315294	-1.0	-0.57167798354	-0.021377825689	0.777479547211	-1.0	0.0111651877282	0.352296424944	0.0356676037623	0.655568910749	-0.294570744219	-0.420736608643	0.219778161886	0.157859156603	-0.830972012906	0.00820298411384	0.223958970883	0.197830739989	1.0	-1.0	0.814935745405	-0.61124211215	0.456831808468	0.0495801372747
hg19ContigDiff	0.261584763737	-1.0	-1.0	0.439815167759	-1.0	0.404185886113	-1.0	-1.0	-1.0	-1.0	-1.0	0.524684242918	-1.0	-1.0	0.696858752017	0.238717711259	0.0701576676937	-1.0	-1.0	-1.0	0.549123403696	-1.0	-1.0	0.520178007895	-1.0	-1.0	0.549123403696	0.366390623119	-1.0	-1.0	-1.0	0.305359835149	-1.0	0.136157775529	0.0244802236017	-1.0	0.439815167759	-1.0
lincRNAsCTProstate	-1.0	-0.618634113595	-0.395089804302	-0.618111757014	0.485789169872	0.203819546977	-1.0	-1.0	-1.0	0.399893101491	-1.0	-0.807674344354	-1.0	-1.0	1.0	0.368266914481	-1.0	0.0113567429277	0.536262853054	-1.0	-1.0	0.458582247643	0.372578531323	-0.62586539339	0.368266914481	0.203819546977	-0.634033467513	-1.0	0.00831108921741	0.458582247643	-0.618634113595	-1.0	0.399893101491	-1.0	0.297935562577	1.0	1.0	-1.0
hapmapAllelesMacaque	-1.0	-0.0457666282361	-0.216115864178	-0.420085125813	-0.36825146957	1.0	-0.200404827449	0.155555031887	-0.638669257308	-1.0	1.0	0.104276860197	1.0	-1.0	0.502944888861	-0.217037897126	-0.650891311936	0.34861261026	-0.174027919401	1.0	1.0	-0.0228135444227	0.502114445868	-0.722295957008	-0.0073014876531	0.397326486135	0.502114445868	1.0	-0.741113805899	-0.330945678339	0.712113361473	0.619289617686	0.610225610071	0.155555031887	1.0	-0.420085125813	1.0	-0.0501385779315
refGene_exon	-0.610829098852	1.0	1.0	0.697263409059	0.349793789806	0.669368104268	-0.302843412187	-0.712793445464	-1.0	1.0	-1.0	-0.272270317545	-1.0	-0.610829098852	0.818719343093	-1.0	-0.384208990623	-0.100619349753	0.160047272436	-1.0	0.29582657581	0.0946899108084	0.29582657581	0.271801102815	-1.0	-1.0	-1.0	-0.384208990623	-0.502636982396	0.0199771454726	-0.711804719598	-1.0	1.0	-0.712793445464	0.453122249491	0.0262231782718	0.411463130898	0.160047272436
acembly_exon	-1.0	-1.0	-1.0	-0.753430717486	1.0	-1.0	-1.0	-0.557264300324	-0.707364851309	-1.0	0.433496737668	-0.0740324119661	-1.0	-0.374935984811	-1.0	-0.368735894424	-0.145431062507	-0.109085273554	0.266693803822	0.566244156835	0.268078845134	0.0252411047172	1.0	0.00603999593706	0.634417622348	0.313680842072	0.578943717402	-0.489405248215	-0.411572278145	0.0970850648039	0.350433228671	1.0	0.656329179123	-0.230127396993	0.362957696344	0.193247517696	1.0	0.714225702499
