alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
miRNA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
scaRna	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0742574257426	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
HAcaBox	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CDBox	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Complex	0.0851435472184	-1.0	0.766135948156	-1.0	-1.0	-0.241413883796	-1.0	0.00624417510208	0.657991055103	-0.611989573594	-1.0	-0.609128620082	-0.619720608406	-1.0	-0.667346196847	0.0645564992226	0.218140101969	-0.760433180951	-1.0	0.439021595895	0.0537115639003	0.630434536743	-1.0	0.320214166073	1.0	-1.0	-0.101147790717	-1.0	1.0	0.133241423117	-0.718355913075	0.630434536743	0.0851435472184	-0.15708216917	0.286890093635	-1.0	-0.711072927677	-0.392654140674
Gain	1.0	-0.820678103605	0.904895364268	-0.153411931713	0.259596610206	-0.615484774266	0.353930969429	-1.0	0.409616197424	-0.332992351978	0.0903406605241	0.104471358694	-1.0	-0.7494803784	-0.91830054304	0.737488291595	0.593287269978	-0.845991974735	-0.430542846843	1.0	0.514233898278	-1.0	-0.53984608503	-0.0892472745222	0.737488291595	0.0398984553847	-0.0035968235413	-0.793785212188	-0.228361232883	-0.550785788704	-1.0	0.388670844184	0.517617721594	-0.658532135206	0.82562581249	-0.63852004811	0.812053485939	0.283646926265
Duplication	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.166054868677	0.303438394893	0.0195123725966	-1.0	-1.0	0.210423646177	-1.0	-1.0	-0.614352580131	0.136458438182	-1.0	0.380470577881	-1.0	-1.0	0.348474524056	-1.0	-1.0	-1.0	-1.0	-1.0	0.348474524056	-1.0	-1.0	-1.0	0.291739039769	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
Inversion	-1.0	0.288968275182	-1.0	-0.617738819277	0.494493259443	0.21169609941	0.502362381773	-1.0	0.52056341839	0.0873374251841	0.0243342623778	-0.463922240646	-1.0	-1.0	-1.0	-1.0	0.545320219204	-0.392661858544	-1.0	0.229750191796	-0.63709510159	0.467041900023	0.384491504385	-1.0	-1.0	0.21169609941	-1.0	-1.0	0.152455124328	-1.0	0.288968275182	-1.0	-1.0	-0.621422027417	-1.0	1.0	1.0	0.545320219204
Insertion	0.569829042849	-1.0	0.304297690598	0.660273503732	-1.0	0.150246691464	0.78113552724	0.41133078133	-0.61851848243	0.569829042849	0.281481302154	-0.324434628032	-1.0	0.569829042849	-1.0	0.531734884518	-1.0	0.501539437345	-0.624215309698	-1.0	0.458025580131	-0.613296190537	-0.714562517514	-0.713353405192	0.159034078319	0.150246691464	-1.0	-1.0	-1.0	1.0	-1.0	1.0	0.188887459541	0.41133078133	0.694904770538	-0.390738432313	-0.390738432313	0.112625437747
Gain+Loss	0.539800377354	-0.393494311234	-1.0	-0.388288383466	1.0	-0.629766947972	0.769277127513	-1.0	0.279080004659	-1.0	0.250459630102	-0.416720445627	-1.0	0.539800377354	-1.0	0.502436402579	0.30765046963	0.469061819299	-0.618656929416	-1.0	0.0372985283324	0.606441863827	1.0	0.696858752017	0.502436402579	-0.629766947972	0.433152622173	-0.618656929416	-1.0	0.221961730795	-1.0	0.221961730795	-1.0	-1.0	0.675153909421	0.161394515524	-0.388288383466	0.0933719823494
