Bone_mineral_density	Red_blood_cell_traits	Vitiligo	HDL_cholesterol	Platelet_counts	Primary_biliary_cirrhosis	Type_1_diabetes	Renal_function_related_traits_BUN	Alopecia_areata	Ankylosing_spondylitis	Multiple_sclerosis	Rheumatoid_arthritis	Kawasaki_disease	Liver_enzyme_levels_gamma_glutamyl_transferase	C_reactive_protein	LDL_cholesterol	Ulcerative_colitis	Restless_legs_syndrome	Urate_levels	Celiac_disease	Crohns_disease	Behcets_disease	Systemic_lupus_erythematosus	Atopic_dermatitis	Triglycerides	Psoriasis	Primary_sclerosing_cholangitis	Migraine	Allergy	Chronic_kidney_disease	Fasting_glucose_related_traits	Autoimmune_thyroiditis	Alzheimers_combined	Type_2_diabetes	Systemic_sclerosis	Asthma	Creatinine_levels	Progressive_supranuclear_palsy	Juvenile_idiopathic_arthritis
E029-H3K9me3	1.19763099176306	1	1	1	1	0.806362745661127	1	1.1913982906714	1	1	1	1	1	1	1	1	1	1	1	0.946875336031793	1	1	0.832493201674804	1	1	1.40855546089778	1	1	1	1	1	1	1.61714977968012	1	1	1	2.25678342135044	1	1
E051-H3K4me3	0.719892939150808	1.1315272013176	1	0.760214221213115	1.15648092491307	1.06485797358235	0.949460860220598	1	1	1.21203900477599	1.20898985500663	1	1	1	1	1	1.54144843458855	1	1	1.02978678125117	1.04251849429361	1	1.39901848445109	1	0.728829525528489	1	1.29766441251818	1	1	1	0.771596514598898	1	1	0.702017090494454	1	0.509905392013207	1	1	1
E050-H3K4me3	0.821364299154191	1	1	0.952916614434655	1	1	1	1	1	1.47700668306211	1.08060232056184	1.08830590137925	1	0.942716896411795	1	1	1.32062536262694	1	1	1	1.13789845929789	1	1.31748449228177	1	1	1	1.123291181123	1	1	0.719070018272507	1	1	0.985216235838687	0.66870858327616	1	0.842712794615502	1	0.751611071823194	1
E032-H3K27ac	0.554246477403037	1	1.19209448286714	0.802036194313086	1	1.43593415204613	1	1	1	1	1.55967526069681	1	1	0.97196041443424	1	0.770649365929324	1	1	0.73234516174155	1.57675965981125	1	1	2.39326949092286	1	0.785502458090125	1.16342482580061	1	1.06657397315458	1.06940975833827	0.546467944870723	1	2.09990970573889	0.690985510708974	0.88821935861651	1	0.784750712344377	0.685667122640902	1	1
E046-H3K27ac	0.477334622970044	0.955352837721213	1	0.571062356680875	1	1.79047174777093	1	1	1	1.16391690673712	1.71377307112793	1.25692979036426	1	0.838364392800992	1	0.464754604068655	1	0.461454174593345	0.521368262362584	1.92573817380534	1.01511636617553	1.04396704828019	1.83578318173194	1	0.524631772891684	1	1	1	1.1790064183343	0.901871575222273	0.462448610831805	1.76193995086897	0.381635569120399	0.802326727101369	1.8622073446599	1	0.451172453250916	0.9823957000172	1
E048-H3K27me3	1.50637831862897	1	0.376017583368027	1	1	0.561378999189468	1	1	1	0.617590872318387	1	1	1	1	1.19292642528514	1	1.02218956397566	1	1.07144221092698	0.889097054063712	0.861214666619551	1	1	1	1	0.739378943162404	1	1	0.972106452831795	1.06710629470477	1	1	1	1.19971984655665	0.797951992493316	1	2.42668596177936	1	0.875791992167928
E041-H3K9me3	1	1	1	1	0.596840528398776	0.832957027922582	0.655344108529094	1.43399823316227	1	1	1	1	1	1	1	0.702111835184309	1	2.57771583598899	0.789906562527752	1	1	0.55257523492699	1	1	1	1.31627184912422	1	1	1.33369105361388	1	1	1	1.80705621217408	1	1	1	1	1	1
E046-H3K9me3	1.02487669203675	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.688697102063065	1	0.876161663919444	0.817243127646176	1.00371976423136	1	1.14170252046059	1	1	1	1	1	1	1.63209642795563	1.14455714899223	1	1	1.43173904127064	1	1
E123-H3K79me2	1	1.49504729434553	0.817794342549507	1	1.42745782394386	1.01644247632595	0.788182934628391	1	1	1	0.952834889307234	0.694133274620928	1	1	1	1	0.936287805827057	0.622685115757803	0.70609550193983	1	1	0.427459153969558	1.24088719860186	1	1.27738728572132	1.1720707456149	1	1	1.2422211012943	1	1	0.595536491519846	1	1.16459852939818	1	0.564301767370936	1	0.775358832842856	0.994634252697016
E062-H3K9ac	0.772694594025373	1	1	1	1.07732317474975	1.17178164746595	1.01077834265818	1	1	1	1.09962149412084	1	1	1	1	1.10012972993264	1	0.813814063202575	1	1.22141282327862	1	1.26041941886177	1	1	1	1	1	1	0.940242760026221	0.798176076761571	0.98039414432554	1	0.922034061964139	0.756923788636001	1	1	1	1	1
