""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"GATA2"	-1.67321824662408	0.513073811350122	-5.82163659097967	3.5552141992654e-07	3.66187062524337e-05	6.36820261013775	"c2 vs. c3"	0.0015326009900655	1.67475084761414
"RELA"	1.31664649827455	0.3787565409306	5.49665756104627	1.15188098681509e-06	5.93218708209774e-05	5.23063130764452	"c2 vs. c3"	1.35969018963348	0.0430436913589269
"NR2F2"	-1.19055889258584	0.403083554601956	-5.2153230582976	3.14947020631067e-06	0.000108131810416666	4.2593832628475	"c2 vs. c3"	0.130424528379016	1.32098342096486
"MEF2C"	0.89391806040575	0.2135261881177	4.92534849672	8.7530526934675e-06	0.000225391106856788	3.27486903503681	"c2 vs. c3"	0.89391806040575	0
"RUNX3"	1.07668191453329	0.404093899906527	4.79462790733847	1.37978535280534e-05	0.000284235782677901	2.83749906715928	"c2 vs. c3"	1.34258142699346	0.265899512460167
"TAL1"	-1.41961798147184	0.483697172956424	-4.40799723923271	5.17343033296524e-05	0.000888105540492367	1.57162300807788	"c2 vs. c3"	0.0639509733961434	1.48356895486799
"GATA1"	-1.91013318461404	0.611172004902522	-4.21564473230153	9.83027635269628e-05	0.0014464549490396	0.959491973230094	"c2 vs. c3"	0.104613141358994	2.01474632597304
"CCNT2"	-1.11464275749683	0.427354565005202	-4.05195373891459	0.000168184422589181	0.00201666652885615	0.449081585434564	"c2 vs. c3"	0.095234447700192	1.20987720519703
"SMARCA4"	-1.1593208714104	0.329399740278937	-4.01268532112592	0.000191049865718985	0.00201666652885615	0.328170670997245	"c2 vs. c3"	0	1.1593208714104
"IKZF1"	1.15058346614364	0.261913039906557	4.00511186002362	0.000195792866879238	0.00201666652885615	0.304921882412923	"c2 vs. c3"	1.19666003569751	0.0460765695538651
"POU2F2"	0.959456500979782	0.322634289750661	3.96355841661178	0.000223910051385957	0.00209661229934124	0.17777405113289	"c2 vs. c3"	0.988369313712678	0.0289128127328971
"MTA3"	1.24203370055401	0.462633162869106	3.78557049194906	0.000394977421635793	0.00339022286904055	-0.358682827140501	"c2 vs. c3"	1.58440446278555	0.342370762231534
"NFATC1"	1.0267478907449	0.426431437351889	3.64795083738133	0.000607447965216088	0.00481285695517362	-0.763900037976067	"c2 vs. c3"	1.47198027638018	0.445232385635277
"TEAD4"	-1.19689638004372	0.679815678335426	-3.54518401034113	0.000833487721667013	0.00613208823797874	-1.06071496978034	"c2 vs. c3"	0.190256338397946	1.38715271844166
"ATF2"	0.763575216435941	0.402493588980431	3.35898703068179	0.00146132745545915	0.0096424476954059	-1.58514974996822	"c2 vs. c3"	1.19430206844097	0.430726852005034
"ARID3A"	-1.17672546728627	0.586010107355401	-3.35067856318548	0.00149785595268441	0.0096424476954059	-1.60813412261337	"c2 vs. c3"	-0.00668947680943008	1.17003599047684
"SPI1"	0.880022096787384	0.358863924310348	3.15450925361519	0.0026577326519527	0.0161027331265369	-2.13993603208737	"c2 vs. c3"	1.14163358046464	0.261611483677251
"FOXM1"	1.03738035902355	0.438459443896958	2.88301319521718	0.00569362094349524	0.0325801642877783	-2.83946131646288	"c2 vs. c3"	1.45029332549649	0.41291296647294
"EBF1"	0.847130726139953	0.42460185076876	2.73156620180534	0.00856102762410867	0.0419898021563425	-3.20991748405564	"c2 vs. c3"	1.3196028051662	0.47247207902625
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"RELA"	1.3135402865742	0.3787565409306	5.48368993302209	1.20686199416149e-06	0.000120432567058631	5.21735674191751	"c2 vs. c4"	1.35969018963348	0.0461499030592813
"RUNX3"	1.18993637432429	0.404093899906527	5.29896719846501	2.33849644774041e-06	0.000120432567058631	4.58028932348821	"c2 vs. c4"	1.34258142699346	0.152645052669164
"MEF2C"	0.89391806040575	0.2135261881177	4.92534849672	8.7530526934675e-06	0.000300521475809051	3.31207657355638	"c2 vs. c4"	0.89391806040575	0
"NFATC1"	1.35108337270399	0.426431437351889	4.80028813816386	1.35296903558143e-05	0.000348389526662218	2.89468914540717	"c2 vs. c4"	1.47198027638018	0.120896903676188
"ATF2"	0.977356513460262	0.402493588980431	4.29941645878551	7.44309192923999e-05	0.00133968497414889	1.26711199288725	"c2 vs. c4"	1.19430206844097	0.216945554980712
"MTA3"	1.39589054983961	0.462633162869106	4.25450780691884	8.64246396958678e-05	0.00133968497414889	1.12509028698287	"c2 vs. c4"	1.58440446278555	0.188513912945943
"MBD4"	-0.87901425104154	0.296723055136489	-4.23880297662867	9.10465516411864e-05	0.00133968497414889	1.07559182311762	"c2 vs. c4"	0.142180504127557	1.0211947551691
"TBL1XR1"	0.928993101390734	0.551824125484311	3.98518939588715	0.000208819266754241	0.00268854805946086	0.288915392568427	"c2 vs. c4"	1.02792297316594	0.0989298717752062
"IKZF1"	1.09251128853599	0.261913039906557	3.80296610170384	0.000373861419337415	0.0042786362435282	-0.260482216892242	"c2 vs. c4"	1.19666003569751	0.104148747161516
"FOXA1"	-1.00055529663758	0.47823862940857	-3.59416888123755	0.000717219306940109	0.00568672065797702	-0.872046723309916	"c2 vs. c4"	0.0625937730379959	1.06314906967557
"EBF1"	1.11108722976143	0.42460185076876	3.58269182125316	0.000742983254162624	0.00568672065797702	-0.905073903708779	"c2 vs. c4"	1.3196028051662	0.208515575404769
"FOXM1"	1.28682947798636	0.438459443896958	3.57626432075613	0.000757795557626231	0.00568672065797702	-0.923542453251271	"c2 vs. c4"	1.45029332549649	0.163463847510133
"PML"	0.860908490536073	0.600280969563611	3.56981036030428	0.000772952322443478	0.00568672065797702	-0.94206697583563	"c2 vs. c4"	0.906689992136966	0.0457815016008929
"POU2F2"	0.830110418071024	0.322634289750661	3.42922386882849	0.0011845528646117	0.00813392967033366	-1.34049389833897	"c2 vs. c4"	0.988369313712678	0.158258895641655
"SPI1"	0.943257357717278	0.358863924310348	3.38118107979584	0.00136784608570302	0.00880550917671318	-1.47435735607848	"c2 vs. c4"	1.14163358046464	0.198376222747357
"MEF2A"	0.772193960960482	0.306026326850624	3.2845663955448	0.00182092903859059	0.0110326877044018	-1.73989077295746	"c2 vs. c4"	0.829105495864063	0.0569115349035809
"FOXA2"	-0.82131253260738	0.455557557340694	-3.16096532923525	0.00260881984227964	0.0149282468752668	-2.07220299409309	"c2 vs. c4"	0.162670776746431	0.983983309353811
"BCL11A"	0.76880565204489	0.316180393905458	3.0856388699626	0.00323597841826378	0.0175424093200616	-2.27050616029904	"c2 vs. c4"	0.92448194803825	0.155676295993361
"RXRA"	-1.0517691094183	0.504904333925081	-2.75404663220271	0.0080645882493614	0.0388284672631909	-3.10302463051654	"c2 vs. c4"	0.251504142640541	1.30327325205884
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"RUNX3"	1.24340102286649	0.404093899906527	6.27842839912628	6.69174041206252e-08	6.89249262442439e-06	7.95272462764417	"c2 vs. c5"	1.34258142699346	0.0991804041269688
"NFATC1"	1.46711286882605	0.426431437351889	5.91045504869922	2.57297416247024e-07	1.32508169367217e-05	6.64193475524532	"c2 vs. c5"	1.47198027638018	0.00486740755412544
"ATF2"	1.14430498417467	0.402493588980431	5.70782339686494	5.37392365331839e-07	1.84504712097265e-05	5.92619571241009	"c2 vs. c5"	1.19430206844097	0.0499970842663056
"RELA"	1.15460818273615	0.3787565409306	5.46558130020129	1.28800733762649e-06	3.3166188943882e-05	5.07793729558165	"c2 vs. c5"	1.35969018963348	0.205082006897327
"MTA3"	1.52587666066961	0.462633162869106	5.27338673943281	2.56173775130635e-06	5.27717976769108e-05	4.41179840256605	"c2 vs. c5"	1.58440446278555	0.058527802115935
"MEF2C"	0.821136036761745	0.2135261881177	5.1301090856611	4.26007650042926e-06	7.31313132573689e-05	3.91978860361712	"c2 vs. c5"	0.89391806040575	0.0727820236440049
"IKZF1"	1.24649490284274	0.261913039906557	4.91993384161189	8.92029137633904e-06	0.000131255715966132	3.20611634514542	"c2 vs. c5"	1.19666003569751	-0.0498348671452314
"EBF1"	1.29877034733686	0.42460185076876	4.74860336005888	1.61807411573659e-05	0.000208327042401086	2.6323046276752	"c2 vs. c5"	1.3196028051662	0.0208324578293468
"FOXM1"	1.40699599703769	0.438459443896958	4.43377556423696	4.74299443290307e-05	0.000542809362876685	1.59937402327498	"c2 vs. c5"	1.45029332549649	0.0432973284587988
"SPI1"	1.0744527194644	0.358863924310348	4.3671466181033	5.93459350942559e-05	0.000611263131470836	1.38472603484179	"c2 vs. c5"	1.14163358046464	0.0671808610002388
"BCL11A"	0.889120464062432	0.316180393905458	4.04633066275718	0.00017128823785084	0.00147022404155304	0.373105853500522	"c2 vs. c5"	0.92448194803825	0.0353614839758187
"POU2F2"	0.781089553314933	0.322634289750661	3.65875254583015	0.000587430936974171	0.00465426050064151	-0.794120828267777	"c2 vs. c5"	0.988369313712678	0.207279760397746
"STAT5A"	0.755003401157999	0.589696363590567	3.44122034944181	0.00114256674778795	0.00840602678729705	-1.41902321255097	"c2 vs. c5"	0.89831366493457	0.14331026377657
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
