foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
###STAT3	No Description###
Activated_partial_thromboplastin_time	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Acute_lymphoblastic_leukemia_childhood	1	37	194	14182	2.01	4.00e-01	Fisher-Exact		
Adiponectin_levels	2	44	194	14182	3.46	1.21e-01	Fisher-Exact		
Age-related_macular_degeneration	2	124	194	14182	1.18	6.88e-01	Fisher-Exact		
Age-related_macular_degeneration_CNV	0	18	194	14182	0.00	1.00e+00	Fisher-Exact		
Age-related_macular_degeneration_GA	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
AIDS_progression	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Airflow_obstruction	0	30	194	14182	0.00	1.00e+00	Fisher-Exact		
Alcohol_consumption	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
Alcohol_dependence	0	22	194	14182	0.00	1.00e+00	Fisher-Exact		
Allergic_sensitization	1	22	194	14182	3.45	2.62e-01	Fisher-Exact		
Alzheimers_disease	0	67	194	14182	0.00	1.00e+00	Fisher-Exact		
Alzheimers_disease_biomarkers	3	21	194	14182	12.19	2.80e-03	Fisher-Exact		
Alzheimers_disease_cognitive_decline	1	44	194	14182	1.68	4.55e-01	Fisher-Exact		
Alzheimers_disease_late_onset	1	35	194	14182	2.13	3.83e-01	Fisher-Exact		
Amyotrophic_lateral_sclerosis	0	54	194	14182	0.00	1.00e+00	Fisher-Exact		
Ankylosing_spondylitis	1	33	194	14182	2.26	3.66e-01	Fisher-Exact		
Anorexia_nervosa	0	24	194	14182	0.00	1.00e+00	Fisher-Exact		
Antineutrophil_cytoplasmic_antibody-associated_vasculitis	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Asthma	2	128	194	14182	1.15	6.95e-01	Fisher-Exact		
Atopic_dermatitis	0	51	194	14182	0.00	1.00e+00	Fisher-Exact		
Atrial_fibrillation	1	20	194	14182	3.81	2.41e-01	Fisher-Exact		
Attention_deficit_hyperactivity_disorder	1	75	194	14182	0.97	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_and_conduct_disorder	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_combined_symptoms	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_hyperactivity-impulsivity_symptoms	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_inattention_symptoms	0	22	194	14182	0.00	1.00e+00	Fisher-Exact		
Autism_spectrum_disorder_attention_deficit-hyperactivity_disorder_bipolar_disorder_major_depressive_disorder_and_schizophrenia_combined	0	106	194	14182	0.00	4.08e-01	Fisher-Exact		
Behcets_disease	0	30	194	14182	0.00	1.00e+00	Fisher-Exact		
Beta-2_microglubulin_plasma_levels	0	38	194	14182	0.00	1.00e+00	Fisher-Exact		
Bilirubin_levels	1	45	194	14182	1.64	4.62e-01	Fisher-Exact		
Biochemical_measures	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Bipolar_disorder	0	125	194	14182	0.00	4.22e-01	Fisher-Exact		
Bipolar_disorder_and_schizophrenia	0	133	194	14182	0.00	2.68e-01	Fisher-Exact		
Bipolar_disorder_mood-incongruent	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Blood_pressure	2	57	194	14182	2.64	1.83e-01	Fisher-Exact		
Body_mass_index	3	124	194	14182	1.80	2.41e-01	Fisher-Exact		
Bone_mineral_density	4	98	194	14182	3.11	4.54e-02	Fisher-Exact		
Bone_mineral_density_hip	2	26	194	14182	6.06	4.88e-02	Fisher-Exact		
Bone_mineral_density_spine	0	33	194	14182	0.00	1.00e+00	Fisher-Exact		
Brain_structure	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
Breast_cancer	4	140	194	14182	2.14	1.26e-01	Fisher-Exact		
Breast_size	1	31	194	14182	2.41	3.48e-01	Fisher-Exact		
Bulimia_nervosa	0	23	194	14182	0.00	1.00e+00	Fisher-Exact		
Capecitabine_sensitivity	0	24	194	14182	0.00	1.00e+00	Fisher-Exact		
Cardiac_hypertrophy	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Cardiac_Troponin-T_levels	1	17	194	14182	4.52	2.09e-01	Fisher-Exact		
Cardiovascular_disease_risk_factors	0	34	194	14182	0.00	1.00e+00	Fisher-Exact		
Celiac_disease	0	49	194	14182	0.00	1.00e+00	Fisher-Exact		
Celiac_disease_and_Rheumatoid_arthritis	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Cervical_cancer	0	34	194	14182	0.00	1.00e+00	Fisher-Exact		
Cholesterol_total	0	71	194	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_hepatitis_B_infection	0	45	194	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_kidney_disease	1	29	194	14182	2.58	3.30e-01	Fisher-Exact		
Chronic_lymphocytic_leukemia	2	57	194	14182	2.64	1.83e-01	Fisher-Exact		
Chronic_obstructive_pulmonary_disease	0	20	194	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_obstructive_pulmonary_disease-related_biomarkers	1	55	194	14182	1.34	5.32e-01	Fisher-Exact		
Cognitive_performance	3	124	194	14182	1.80	2.41e-01	Fisher-Exact		
Colorectal_cancer	2	47	194	14182	3.23	1.35e-01	Fisher-Exact		
Common_traits_Other	1	22	194	14182	3.45	2.62e-01	Fisher-Exact		
Complement_C3_and_C4_levels	0	58	194	14182	0.00	1.00e+00	Fisher-Exact		
Conduct_disorder_interaction	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Corneal_astigmatism	0	30	194	14182	0.00	1.00e+00	Fisher-Exact		
Corneal_structure	1	31	194	14182	2.41	3.48e-01	Fisher-Exact		
Coronary_heart_disease	4	157	194	14182	1.90	1.68e-01	Fisher-Exact		
C-reactive_protein	2	46	194	14182	3.30	1.31e-01	Fisher-Exact		
Crohns_disease	3	232	194	14182	0.94	1.00e+00	Fisher-Exact		
D-dimer_levels	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
