""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"GATA2"	-1.63573613520445	0.488629843218271	-6.34262781377017	1.81111124401038e-08	2.13711126793225e-06	9.18788968553592	"c1 vs. c2"	0.055546782531962	1.69128291773641
"NR2F2"	-1.2120189799855	0.37841014493085	-5.77047062070675	1.89060114839815e-07	1.11545467755491e-05	6.9243535152009	"c1 vs. c2"	0.148831009837293	1.36084998982279
"SMARCA4"	-1.20273585192304	0.280094305605762	-5.10542175704484	2.63491677424271e-06	9.57511160954041e-05	4.39221171741279	"c1 vs. c2"	0.0212341345386878	1.22396998646172
"GATA1"	-1.93201258250194	0.571355101345592	-5.05142908318152	3.24580054560692e-06	9.57511160954041e-05	4.19245045221076	"c1 vs. c2"	0.0665685952906488	1.99858117779259
"TAL1"	-1.33592764004872	0.399654041398898	-4.82266156126736	7.77174510116131e-06	0.000152844320322839	3.35725691946907	"c1 vs. c2"	0.0762021089689848	1.41212974901771
"RELA"	1.1740838725308	0.455414345252285	4.70305129386326	1.21820877693657e-05	0.00020535519382645	2.92822435858094	"c1 vs. c2"	1.26297457540494	0.0888907028741406
"RUNX3"	1.00264484624946	0.483654342084948	4.62010581215558	1.65874977716776e-05	0.000244665592132244	2.63397847107213	"c1 vs. c2"	1.3804804052812	0.377835559031737
"CCNT2"	-1.1334072825337	0.42232050745352	-4.47057965793134	2.87486698045318e-05	0.000376927004103862	2.11064008828546	"c1 vs. c2"	0.0977958871259325	1.23120316965963
"TEAD4"	-1.23257534468816	0.653705982329661	-4.25761874737829	6.19621733957894e-05	0.000664685132791195	1.38198740382543	"c1 vs. c2"	0.192204728223262	1.42478007291142
"ARID3A"	-1.18325795779535	0.560295755457822	-3.79035807510313	0.000311655949248246	0.00306461683427442	-0.140599599111378	"c1 vs. c2"	0.020480690100532	1.20373864789588
"MTA3"	1.0698889193423	0.49198482055688	3.59188328497307	0.000599594105772962	0.00505372174865782	-0.752360123419649	"c1 vs. c2"	1.48098629676777	0.411097377425469
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"RUNX3"	1.17550811906241	0.483654342084948	6.43823977987566	1.21715097521188e-08	1.43623815075002e-06	9.56692886462141	"c1 vs. c3"	1.3804804052812	0.204972286218789
"ATF2"	1.09293600327869	0.469486408697708	5.97958623667685	8.07978879076964e-08	4.76707538655409e-06	7.73753616122855	"c1 vs. c3"	1.19401208551449	0.101076082235806
"NFATC1"	1.23682022888381	0.428767251204493	5.53459876885131	4.87561301101841e-07	1.91774111766724e-05	6.00464636316603	"c1 vs. c3"	1.32181676917184	0.0849965402880336
"MTA3"	1.32840570664291	0.49198482055688	5.30091666648756	1.22952352768941e-06	3.62709440668377e-05	5.1151104457218	"c1 vs. c3"	1.48098629676777	0.152580590124863
"IKZF1"	1.03766029818331	0.260818539112024	4.740602834244	1.05845839956521e-05	0.000178425844498135	3.05274415647955	"c1 vs. c3"	1.01285645686681	-0.0248038413164966
"EBF1"	1.13538064591176	0.537327706989176	4.65412097591589	1.46196471004621e-05	0.000215639794731816	2.74453651719925	"c1 vs. c3"	1.36330662580012	0.227925979888366
"FOXM1"	1.2757079033474	0.525208829595621	4.47338090819606	2.84562598779313e-05	0.00037309318506621	2.11018698603966	"c1 vs. c3"	1.41632410238891	0.14061619904151
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"RUNX3"	1.18987729768098	0.483654342084948	6.12102636726225	4.52444883178137e-08	5.33884962150202e-06	8.31679740817699	"c1 vs. c4"	1.3804804052812	0.190603107600214
"NFATC1"	1.22824883797377	0.428767251204493	5.16233854539634	2.11296006625346e-06	8.31097626059694e-05	4.62346722121536	"c1 vs. c4"	1.32181676917184	0.0935679311980697
"MTA3"	1.29194038753857	0.49198482055688	4.84220617385837	7.21799306707265e-06	0.00017764480316502	3.44941723179174	"c1 vs. c4"	1.48098629676777	0.189045909229199
"RELA"	1.08031279109542	0.455414345252285	4.83111512329821	7.52732216800932e-06	0.00017764480316502	3.40938936602097	"c1 vs. c4"	1.26297457540494	0.182661784309526
"EBF1"	1.13026156786398	0.537327706989176	4.35166744794362	4.42421836791475e-05	0.000494028441210403	1.72550282559122	"c1 vs. c4"	1.36330662580012	0.233045057936143
"FOXM1"	1.07395903892638	0.525208829595621	3.53714537250431	0.000715610210083929	0.00496717675234727	-0.889056364881563	"c1 vs. c4"	1.41632410238891	0.342365063462525
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"STAT5A"	1.437784686851	0.586898233744764	7.04783844839635	9.39782285594925e-10	1.10894309700201e-07	12.0210895992008	"c2 vs. c3"	1.57659031373404	0.138805626883043
"NR2F2"	1.23581465085427	0.37841014493085	6.46674295963846	1.080880153015e-08	6.37719290278849e-07	9.64568681873486	"c2 vs. c3"	1.36084998982279	0.125035338968519
"GATA2"	1.46597425838247	0.488629843218271	6.24759358451462	2.68470871800938e-08	1.0478914272909e-06	8.76221636130094	"c2 vs. c3"	1.69128291773641	0.22530865935394
"PML"	1.27342416834021	0.576464145097191	6.17977885908045	3.55217432979967e-08	1.0478914272909e-06	8.49051444456014	"c2 vs. c3"	1.50326343271293	0.229839264372722
"SMARCA4"	1.1282193412474	0.280094305605762	5.26363001243957	1.42312515802623e-06	3.3585753729419e-05	4.92028833286145	"c2 vs. c3"	1.22396998646172	0.0957506452143232
"TAL1"	1.20288249831964	0.399654041398898	4.77262709237925	9.38512097810661e-06	0.000184574045902763	3.10685974729145	"c2 vs. c3"	1.41212974901771	0.209247250698067
"GATA1"	1.46527561380296	0.571355101345592	4.21069784100944	7.3198742884337e-05	0.00123392166576454	1.14619395445419	"c2 vs. c3"	1.99858117779259	0.533305563989633
"TEAD4"	1.06418138975507	0.653705982329661	4.04016776302398	0.000133052697688446	0.00196252729090458	0.579539333728579	"c2 vs. c3"	1.42478007291142	0.360598683156348
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"PML"	1.29634045275462	0.576464145097191	5.9599127961554	8.75584875244375e-08	7.1843547914914e-06	7.69060400049016	"c2 vs. c4"	1.50326343271293	0.206922979958312
"STAT5A"	1.26595394667436	0.586898233744764	5.87896641647908	1.21768725279515e-07	7.1843547914914e-06	7.37355712341368	"c2 vs. c4"	1.57659031373404	0.310636367059684
"NR2F2"	1.08626983697241	0.37841014493085	5.38506519265993	8.82681506659516e-07	3.47188059286077e-05	5.4727657406709	"c2 vs. c4"	1.36084998982279	0.274580152850384
"GATA1"	1.88353998215057	0.571355101345592	5.12779417660308	2.41619092610837e-06	5.89557642758862e-05	4.50925412849046	"c2 vs. c4"	1.99858117779259	0.115041195642022
"GATA2"	1.26792564753059	0.488629843218271	5.11918940349936	2.49812560491043e-06	5.89557642758862e-05	4.47738446208953	"c2 vs. c4"	1.69128291773641	0.423357270205824
