eset.labels	eset.groups
Primary_sclerosing_cholangitis	1
Psoriasis	1
Primary_biliary_cirrhosis	1
Systemic_lupus_erythematosus	1
Vitiligo	1
Systemic_sclerosis	1
Ankylosing_spondylitis	1
Allergy	1
Juvenile_idiopathic_arthritis	1
Crohns_disease	1
Multiple_sclerosis	1
Celiac_disease	1
Behcets_disease	1
Autoimmune_thyroiditis	1
Type_1_diabetes	1
Alopecia_areata	1
Atopic_dermatitis	2
Ulcerative_colitis	2
Rheumatoid_arthritis	2
C_reactive_protein	2
Urate_levels	2
Creatinine_levels	2
Liver_enzyme_levels_gamma_glutamyl_transferase	2
Asthma	2
Restless_legs_syndrome	2
Renal_function_related_traits_BUN	2
Fasting_glucose_related_traits	3
Chronic_kidney_disease	3
Type_2_diabetes	3
Alzheimers_combined	3
Bone_mineral_density	3
Triglycerides	3
HDL_cholesterol	3
LDL_cholesterol	3
Progressive_supranuclear_palsy	3
Kawasaki_disease	3
Migraine	3
Platelet_counts	3
Red_blood_cell_traits	3
