Disease 1	Disease 2	Corr. coefficient
triglycerides	lipid_metabolism_phenotypes	0.915091216564178
lipid_metabolism_phenotypes	metabolite_levels	0.868564307689667
lipid_metabolism_phenotypes	chronic_lymphocytic_leukemia	0.850069880485535
triglycerides	metabolite_levels	0.800699412822723
triglycerides	chronic_lymphocytic_leukemia	0.777792811393738
lipid_metabolism_phenotypes	platelet_counts	0.75543349981308
platelet_counts	chronic_lymphocytic_leukemia	0.721456527709961
triglycerides	platelet_counts	0.720747470855713
metabolite_levels	chronic_lymphocytic_leukemia	0.715694069862366
metabolite_levels	platelet_counts	0.696571826934814
lipid_metabolism_phenotypes	mean_corpuscular_volume	0.54936695098877
triglycerides	mean_corpuscular_volume	0.515415847301483
metabolite_levels	mean_corpuscular_volume	0.499493569135666
platelet_counts	mean_corpuscular_volume	0.488116800785065
mean_corpuscular_hemoglobin	red_blood_cell_traits	0.48155888915062
type_1_diabetes	inflammatory_bowel_disease	0.443694233894348
chronic_lymphocytic_leukemia	systemic_lupus_erythematosus	0.420663952827454
pr_interval	red_blood_cell_traits	0.417448341846466
chronic_lymphocytic_leukemia	mean_corpuscular_volume	0.416326999664307
platelet_counts	red_blood_cell_traits	0.411165475845337
red_blood_cell_traits	mean_corpuscular_volume	0.405719310045242
mean_corpuscular_hemoglobin	mean_corpuscular_volume	0.398779094219208
mean_corpuscular_hemoglobin	f.cell_distribution	0.397065967321396
inflammatory_bowel_disease	chronic_lymphocytic_leukemia	0.358873456716537
triglycerides	red_blood_cell_traits	0.353121012449265
mean_corpuscular_hemoglobin	platelet_counts	0.34917750954628
metabolite_levels	red_blood_cell_traits	0.34817236661911
f.cell_distribution	red_blood_cell_traits	0.335865944623947
lipid_metabolism_phenotypes	systemic_lupus_erythematosus	0.330808103084564
inflammatory_bowel_disease	systemic_lupus_erythematosus	0.32440659403801
lipid_metabolism_phenotypes	red_blood_cell_traits	0.282412886619568
triglycerides	systemic_lupus_erythematosus	0.279896289110184
metabolite_levels	systemic_lupus_erythematosus	0.236271515488625
inflammatory_bowel_disease	lipid_metabolism_phenotypes	0.225349977612495
